condition,m0,m1,m2,d_m1_m0,d_m2_m1
clean_day,0.3022,0.3024,0.2961,0.0002,-0.0063
night,0.2231,0.2206,0.2546,-0.0025,0.034
rain,0.275,0.2809,0.2943,0.0059,0.0134
snow,0.2542,0.2564,0.2621,0.0022,0.0057
dawn_dusk,0.3149,0.3132,0.3178,-0.0017,0.0046
fog,0.2563,0.2448,0.2627,-0.0115,0.0179
downscale_s2,0.2807,0.2813,0.278,0.0006,-0.0033
fog_s2,0.2946,0.2972,0.2884,0.0026,-0.0088
gauss_noise_s2,0.1986,0.2567,0.2502,0.0581,-0.0065
jpeg_s2,0.2942,0.2936,0.2887,-0.0006,-0.0049
low_light_s2,0.2681,0.2767,0.2728,0.0086,-0.0039
motion_blur_s2,0.2217,0.2376,0.2372,0.0159,-0.0004
rain_s2,0.2186,0.263,0.256,0.0444,-0.007
