condition,map,map50,p,r,rel_drop
clean_day,0.3024,0.5315,0.7085,0.4861,0.0
night,0.2206,0.4123,0.6003,0.4029,-27.0
rain,0.2809,0.4942,0.7458,0.4392,-7.1
snow,0.2564,0.4663,0.6969,0.4328,-15.2
dawn_dusk,0.3132,0.5353,0.68,0.4742,3.6
fog,0.2448,0.4377,0.5774,0.4278,-19.0
low_light_s2,0.2767,0.4821,0.721,0.4222,-8.5
motion_blur_s2,0.2376,0.4241,0.6704,0.3856,-21.4
gauss_noise_s2,0.2567,0.4455,0.6704,0.4101,-15.1
fog_s2,0.2972,0.5223,0.7056,0.4695,-1.7
rain_s2,0.263,0.4617,0.7509,0.3933,-13.0
downscale_s2,0.2813,0.4887,0.7079,0.4444,-7.0
jpeg_s2,0.2936,0.5123,0.7253,0.4529,-2.9
