condition,cls_id,cls,ap
clean_day,0,person,0.2749
clean_day,1,bike,0.1378
clean_day,2,car,0.3749
clean_day,3,motor,0.0965
clean_day,5,bus,0.3063
clean_day,7,truck,0.2877
clean_day,9,traffic light,0.1158
night,0,person,0.227
night,1,bike,0.1213
night,2,car,0.2285
night,3,motor,0.2307
night,5,bus,0.1704
night,7,truck,0.227
night,9,traffic light,0.0299
rain,0,person,0.2299
rain,1,bike,0.1925
rain,2,car,0.3928
rain,3,motor,0.1575
rain,5,bus,0.3419
rain,7,truck,0.3018
rain,9,traffic light,0.0862
snow,0,person,0.3035
snow,1,bike,0.1592
snow,2,car,0.3727
snow,3,motor,0.0976
snow,5,bus,0.1938
snow,6,train,0.0
snow,7,truck,0.2981
snow,9,traffic light,0.072
dawn_dusk,0,person,0.2339
dawn_dusk,1,bike,0.2021
dawn_dusk,2,car,0.3688
dawn_dusk,3,motor,0.027
dawn_dusk,5,bus,0.3168
dawn_dusk,7,truck,0.2396
dawn_dusk,9,traffic light,0.077
fog,0,person,0.1491
fog,2,car,0.2599
fog,3,motor,0.0498
fog,7,truck,0.1993
fog,9,traffic light,0.0296
low_light_s2,0,person,0.2399
low_light_s2,1,bike,0.0683
low_light_s2,2,car,0.3415
low_light_s2,3,motor,0.1776
low_light_s2,5,bus,0.2431
low_light_s2,7,truck,0.261
low_light_s2,9,traffic light,0.0985
motion_blur_s2,0,person,0.1846
motion_blur_s2,1,bike,0.0548
motion_blur_s2,2,car,0.3052
motion_blur_s2,3,motor,0.1748
motion_blur_s2,5,bus,0.2342
motion_blur_s2,7,truck,0.1995
motion_blur_s2,9,traffic light,0.0739
gauss_noise_s2,0,person,0.2017
gauss_noise_s2,1,bike,0.0435
gauss_noise_s2,2,car,0.3237
gauss_noise_s2,3,motor,0.1536
gauss_noise_s2,5,bus,0.1964
gauss_noise_s2,7,truck,0.2
gauss_noise_s2,9,traffic light,0.0866
fog_s2,0,person,0.2548
fog_s2,1,bike,0.1094
fog_s2,2,car,0.3607
fog_s2,3,motor,0.2071
fog_s2,5,bus,0.247
fog_s2,7,truck,0.2594
fog_s2,9,traffic light,0.1026
rain_s2,0,person,0.1768
rain_s2,1,bike,0.0286
rain_s2,2,car,0.2932
rain_s2,3,motor,0.0534
rain_s2,5,bus,0.1742
rain_s2,7,truck,0.1699
rain_s2,9,traffic light,0.0853
downscale_s2,0,person,0.2483
downscale_s2,1,bike,0.0672
downscale_s2,2,car,0.3458
downscale_s2,3,motor,0.2079
downscale_s2,5,bus,0.2388
downscale_s2,7,truck,0.2633
downscale_s2,9,traffic light,0.0995
jpeg_s2,0,person,0.2584
jpeg_s2,1,bike,0.1063
jpeg_s2,2,car,0.3584
jpeg_s2,3,motor,0.1977
jpeg_s2,5,bus,0.2616
jpeg_s2,7,truck,0.2612
jpeg_s2,9,traffic light,0.1099
